Food_X,Food_Y
Flour Tortilla,A1 Steak Sauce
Flour Tortilla,Alfredo Sauce
Flour Tortilla,Almond Butter
Flour Tortilla,Almonds
Flour Tortilla,American Cheese
Flour Tortilla,Apricot Lemon Bread
Flour Tortilla,Arroz Amarillo
Flour Tortilla,Arugula
Flour Tortilla,Asian Sesame Dressing
Flour Tortilla,Asparagus
Flour Tortilla,Avocado
Flour Tortilla,Bacon
Flour Tortilla,Bacon Bits
Flour Tortilla,Baked Beans
Flour Tortilla,Baked Chicken
Flour Tortilla,Baked Potatoes
Flour Tortilla,Balsamic Glaze
Flour Tortilla,Balsamic Vinaigrette
Flour Tortilla,Banana Chips
Flour Tortilla,Basil
Flour Tortilla,Bavarian Cream Donut
Flour Tortilla,Beef Brisket
Flour Tortilla,Beets
Flour Tortilla,Belgian Waffle
Flour Tortilla,Black Bean Burger
Flour Tortilla,Blackberries
Flour Tortilla,Blue Cheese Crumbles
Flour Tortilla,Blueberries
Flour Tortilla,Blueberry Yogurt
Flour Tortilla,Borracho Beans
Flour Tortilla,Breadsticks
Flour Tortilla,Breakfast Sausage
Flour Tortilla,Brioche Bun
Flour Tortilla,Broccoli
Flour Tortilla,Broccolini
Flour Tortilla,Brown Rice
Flour Tortilla,Brown Rice Tortillas
Flour Tortilla,Brown Sugar
Flour Tortilla,Butterhead Bread
Flour Tortilla,Caesar Dressing
Flour Tortilla,Cajun Blackeyed Peas
Flour Tortilla,Cap'n Crunch Cereal
Flour Tortilla,Capers
Flour Tortilla,Carrots
Flour Tortilla,Cauliflower Crust Cheese Pizza
Flour Tortilla,Charred Chipotle Salsa
Flour Tortilla,Charred Eggplant and Tomato
Flour Tortilla,Charred Poblano Salsa
Flour Tortilla,Charred Salsa Verde
Flour Tortilla,Cheddar Cheese Sauce
Flour Tortilla,Cheese Pizza
Flour Tortilla,Cheese and Pepperoni Pizza
Flour Tortilla,Cherry Chocolate Chip Muffin
Flour Tortilla,Chia Seeds
Flour Tortilla,Chicken
Flour Tortilla,Chicken BBQ
Flour Tortilla,Chicken Breast
Flour Tortilla,Chicken Nuggets
Flour Tortilla,Chicken Salad
Flour Tortilla,Chicken Tinga
Flour Tortilla,Chihuahua Cheese
Flour Tortilla,Chipotle BBQ Seitan
Flour Tortilla,Chipotle Crema
Flour Tortilla,Chipotle Dressing
Flour Tortilla,Chocolate Cake
Flour Tortilla,Chocolate Chips
Flour Tortilla,Chorizo
Flour Tortilla,Chow Mein Noodles
Flour Tortilla,Cilantro Crema
Flour Tortilla,Cinnamon
Flour Tortilla,Cinnamon Raisin Bagel
Flour Tortilla,Cinnamon Rolls
Flour Tortilla,Cinnamon Streusel Bread
Flour Tortilla,Cinnamon Toast Crunch
Flour Tortilla,Coconut
Flour Tortilla,Coleslaw
Flour Tortilla,Collard Greens
Flour Tortilla,Corn Muffins
Flour Tortilla,Craisins
Flour Tortilla,Cranberry Orange Scone
Flour Tortilla,Cream Cheese
Flour Tortilla,Crunchy Peanut Butter
Flour Tortilla,Cucumber
Flour Tortilla,Curly Fries
Flour Tortilla,Deli Ham
Flour Tortilla,Deli Turkey
Flour Tortilla,Devil Food Donut
Flour Tortilla,Diced Green Peppers
Flour Tortilla,Diced Ham
Flour Tortilla,Diced Turkey
Flour Tortilla,Diced Yellow Onions
Flour Tortilla,Dill Pickle Slices
Flour Tortilla,Double Baguette
Flour Tortilla,Edamame
Flour Tortilla,Edamame Rice Cake
Flour Tortilla,Egg Whites
Flour Tortilla,Eggs
Flour Tortilla,English Muffin
Flour Tortilla,Everything Bagel
Flour Tortilla,Everything Cream Cheese
Flour Tortilla,Everything Flatbread Cracker
Flour Tortilla,Everything Spice
Flour Tortilla,Fajita Beef
Flour Tortilla,Feta Cheese
Flour Tortilla,Fiery Cauliflower
Flour Tortilla,Fingerling Potatoes
Flour Tortilla,Flavored Yogurt
Flour Tortilla,Flourless Chocolate Torte
Flour Tortilla,Franks Buffalo Sauce
Flour Tortilla,Fried Chicken
Flour Tortilla,Fried Eggs
Flour Tortilla,Fried Pickle Chips
Flour Tortilla,Frosted Flakes
Flour Tortilla,Fruity Pebbles
Flour Tortilla,GF Chocolate Chip Cookie
Flour Tortilla,Garlic Croutons
Flour Tortilla,Goat Cheese Crumbles
Flour Tortilla,Golden Italian Dressing
Flour Tortilla,Granola
Flour Tortilla,Grape Jelly
Flour Tortilla,Grape Tomato
Flour Tortilla,Grapefruit Habanero Steak
Flour Tortilla,Grapes
Flour Tortilla,Greek Dressing
Flour Tortilla,Greek Yogurt
Flour Tortilla,Green Onions
Flour Tortilla,Green Peppers
Flour Tortilla,Grilled Moroccan Pizza
Flour Tortilla,Grilled Peppers & Onions
Flour Tortilla,Grilled Zucchini & Poblano Peppers
Flour Tortilla,Ground Flax Seeds
Flour Tortilla,Hamburger
Flour Tortilla,Hamburger Bun
Flour Tortilla,Hard Boiled Eggs
Flour Tortilla,Hello Dollies Cookie
Flour Tortilla,Herb Flatbread
Flour Tortilla,Homefried Potatoes
Flour Tortilla,Honey
Flour Tortilla,Honey Bunches of Oats
Flour Tortilla,Honey Custard French Toast
Flour Tortilla,Honey Grain Panini Bread
Flour Tortilla,Honey Mustard Sauce
Flour Tortilla,Honey Nut Cheerios
Flour Tortilla,Honey Wheat Bread
Flour Tortilla,Hummus
Flour Tortilla,Iloka Ghanaian Milk Candy
Flour Tortilla,Impossible Burger
Flour Tortilla,Jalapenos
Flour Tortilla,Kalamata Olives
Flour Tortilla,Ketchup
Flour Tortilla,Lettuce
Flour Tortilla,Life Cereal
Flour Tortilla,Liquid Whole Egg
Flour Tortilla,Long Grain and Wild Rice
Flour Tortilla,Low Fat Banana Muffin
Flour Tortilla,Low Fat Cottage Cheese
Flour Tortilla,Lucky Charms
Flour Tortilla,Macaroni
Flour Tortilla,Malva Pudding w/ Pickled Apricot
Flour Tortilla,Mandarin Oranges
Flour Tortilla,Marinara
Flour Tortilla,Mayonnaise
Flour Tortilla,Mild Cheddar Cheese
Flour Tortilla,Minestrone Soup
Flour Tortilla,Monterey Jack and Cheddar Cheese
Flour Tortilla,Moroccan Cauliflower
Flour Tortilla,Moroccan Sweet Potatoes
Flour Tortilla,Mozzarella Cheese
Flour Tortilla,Mozzarella cheese
Flour Tortilla,Mushroom Medley
Flour Tortilla,Mushrooms
Flour Tortilla,Nutella
Flour Tortilla,Olive Oil Spray
Flour Tortilla,Oreo Madness Cookies
